arrival_row_key,arrival_id,date,mandi_id,crop_name,variety,arrival_quantity_qtl,farmer_count,arrival_id_status,date_status,mandi_id_status,quantity_status,source_arrival_id,source_date,source_mandi_id,source_crop_name,source_variety,source_arrival_quantity,source_unit,source_farmer_count
ARR_ROW_000001,ARR0012424,2026-06-04,MANDI026,Wheat,Hybrid,448.41,128,Present,Parsed: assumed format by separator,Matched,Valid,ARR0012424,06-04-2026,MANDI026,गेहूं,Hybrid,44.841,T,128.0
ARR_ROW_000002,ARR0008271,2026-06-02,MANDI014,Wheat,HD-2967,332.54,33,Present,Parsed: unambiguous,Matched,Valid,ARR0008271,2026-06-02,MANDI014,Gehun,HD-2967,332.54,Qtl,33.0
ARR_ROW_000003,ARR0022724,2026-08-16,MANDI056,Wheat,HD-2967,415.88,NA,Present,Parsed: unambiguous,Matched,Valid,ARR0022724,08-16-2026,056,Kanak,HD-2967,415.88 qtl,NA,NA
ARR_ROW_000004,ARR0012573,2026-06-24,MANDI019,Maize,NA,NA,112,Present,Parsed: unambiguous,Matched,Negative quantity,ARR0012573,06-24-2026,MANDI019,Maize,NA,-107.13,KG,112.0
ARR_ROW_000005,ARR0012098,2026-08-09,MANDI050,Maize,Premium,NA,NA,Present,Parsed: assumed format by separator,Matched,Negative quantity,ARR0012098,09.08.2026,mandi050,Corn,Premium,-331.59,Qtl,NA
ARR_ROW_000006,ARR0013701,2026-03-31,MANDI049,Sugarcane,Local,119.93,105,Present,Parsed: unambiguous,Matched,Valid,ARR0013701,2026-03-31,mandi_049,Ganne,Local,119.93,Q,105.0
ARR_ROW_000007,ARR0010753,2026-07-10,MANDI054,Cotton,HD-2967,187.68,45,Present,Parsed: assumed format by separator,Matched,Valid,ARR0010753,10/07/2026,MANDI-054,Kapas,HD-2967,187.68,qtl,45.0
ARR_ROW_000008,ARR0022123,2026-07-15,MANDI045,Mustard,Hybrid,393.67,24,Present,Parsed: unambiguous,Matched,Valid,ARR0022123,15/07/2026,MANDI045,Sarso,Hybrid,393.67 qtl,NA,24.0
ARR_ROW_000009,ARR0003275,2026-04-08,MANDI029,Mustard,PBW-343,14.84,129,Present,Parsed: assumed format by separator,Matched,Valid,ARR0003275,04-08-2026,mandi029,Sarson,PBW-343,14.84,Quintals,129.0
ARR_ROW_000010,ARR0002542,2026-08-14,MANDI010,Mustard,Pusa-1121,93.28,109,Present,Parsed: unambiguous,Matched,Valid,ARR0002542,2026-08-14,MANDI010,Mustard,Pusa-1121,93.28,qtl,109.0
ARR_ROW_000011,ARR0016719,2026-05-25,MANDI044,Maize,PBW-343,38.370000000000005,80,Present,Parsed: unambiguous,Matched,Valid,ARR0016719,2026-05-25,mandi_044,Maize,PBW-343,3.8369999999999997,tonnes,80.0
ARR_ROW_000012,ARR0019527,2026-08-02,MANDI042,Maize,HD-2967,170.77,26,Present,Parsed: assumed format by separator,Matched,Valid,ARR0019527,02/08/2026,MANDI042,corn,HD-2967,17077.0,kg,26.0
ARR_ROW_000013,ARR0009636,2026-03-31,MANDI056,Maize,HD-2967,37.3,NA,Present,Parsed: unambiguous,Matched,Valid,ARR0009636,31/03/2026,MANDI-056,corn,HD-2967,37.3,quintal,NA
ARR_ROW_000014,ARR0010366,2026-01-16,MANDI011,Sugarcane,Pusa-1121,44.83,65,Present,Parsed: unambiguous,Matched,Valid,ARR0010366,16/01/2026,MANDI011,Ganne,Pusa-1121,44.83,Q,65.0
ARR_ROW_000015,ARR0005837,2026-06-27,MANDI025,Wheat,NA,454.73999999999995,NA,Present,Parsed: unambiguous,Matched,Valid,ARR0005837,27.06.2026,025,GEHUN,NA,45.474000000000004,tonnes,NA
ARR_ROW_000016,ARR0002387,2026-01-18,MANDI050,Sugarcane,HD-2967,15.18,NA,Present,Parsed: unambiguous,Matched,Valid,ARR0002387,18.01.2026,MANDI050,Ganne,HD-2967,1518.0,KGS,NA
ARR_ROW_000017,ARR0024112,2026-08-09,MANDI006,Mustard,NA,34.63,102,Present,Parsed: unambiguous,Matched,Valid,ARR0024112,2026-08-09,MANDI006,सरसों,NA,34.63,quintal,102.0
ARR_ROW_000018,ARR0010546,2026-01-09,MANDI039,Wheat,NA,415.77,139,Present,Parsed: unambiguous,Matched,Valid,ARR0010546,2026/01/09,MANDI039,Kanak,NA,41.577,MT,139.0
ARR_ROW_000019,ARR0002154,2026-03-20,MANDI001,Rice,HD-2967,396.46000000000004,61,Present,Parsed: unambiguous,Matched,Valid,ARR0002154,03-20-2026,MANDI-001,Basmati,HD-2967,39646.0,kg,61.0
ARR_ROW_000020,ARR0020380,2026-06-03,MANDI028,Mustard,Pusa-1121,99.87,NA,Present,Parsed: assumed format by separator,Matched,Valid,ARR0020380,06-03-2026,MANDI028,mustard,Pusa-1121,99.87,Quintals,NA
ARR_ROW_000021,ARR0021641,2026-08-15,MANDI045,Mustard,HD-2967,391.19,41,Present,Parsed: unambiguous,Matched,Valid,ARR0021641,15-Aug-2026,mandi_045,Sarso,HD-2967,39119.0,KGS,41.0
ARR_ROW_000022,ARR0004098,2026-03-25,MANDI027,Cotton,Pusa-1121,111.01,137,Present,Parsed: unambiguous,Matched,Valid,ARR0004098,25-Mar-2026,MANDI-027,cotton,Pusa-1121,111.01,Qtl,137.0
ARR_ROW_000023,NA,2026-06-18,MANDI026,Maize,Pusa-1121,264.38,96,Missing source ID,Parsed: unambiguous,Matched,Valid,NA,18.06.2026,MANDI026,मक्का,Pusa-1121,264.38,Qtl,96.0
ARR_ROW_000024,ARR0006088,2026-08-12,MANDI019,Sugarcane,HD-2967,373.93,121,Present,Parsed: unambiguous,Matched,Valid,ARR0006088,12-Aug-2026,MANDI019,Ganne,HD-2967,373.93,Quintals,121.0
ARR_ROW_000025,ARR0021143,2026-04-30,MANDI024,Mustard,Premium,70.49,7,Present,Parsed: unambiguous,Matched,Valid,ARR0021143,30.04.2026,MANDI024,सरसों,Premium,7048.999999999999,Kgs,7.0
ARR_ROW_000026,ARR0019959,2026-08-21,MANDI022,Maize,PBW-343,383.43000000000006,85,Present,Parsed: unambiguous,Matched,Valid,ARR0019959,21/08/2026,MANDI022,Makka,PBW-343,38.343,Tonnes,85.0
ARR_ROW_000027,ARR0001442,2026-05-31,MANDI044,Rice,Local,113.89,97,Present,Parsed: unambiguous,Matched,Valid,ARR0001442,2026/05/31,MANDI044,paddy,Local,113.89,Qtl,97.0
ARR_ROW_000028,ARR0004480,2026-04-08,MANDI045,Wheat,Local,159.1,102,Present,Parsed: assumed format by separator,Matched,Valid,ARR0004480,08.04.2026,M045,Wheat,Local,15910.0,kg,102.0
ARR_ROW_000029,ARR0021197,2026-08-28,MANDI021,Sugarcane,Hybrid,197.48,NA,Present,Parsed: unambiguous,Matched,Valid,ARR0021197,28-Aug-2026,021,sugarcane,Hybrid,197.48,qtl,NA
ARR_ROW_000030,ARR0020628,2026-06-12,MANDI012,Sugarcane,PBW-343,350.53000000000003,71,Present,Parsed: unambiguous,Matched,Valid,ARR0020628,12-Jun-2026,MANDI-012,sugarcane,PBW-343,35053.0,Kilo,71.0
ARR_ROW_000031,ARR0001665,2026-07-30,MANDI055,Rice,Local,406.67,NA,Present,Parsed: unambiguous,Matched,Valid,ARR0001665,30.07.2026,MANDI055,Chawal,Local,406.67,Quintals,NA
ARR_ROW_000032,ARR0002938,2026-07-04,MANDI016,Wheat,NA,162.36,114,Present,Parsed: unambiguous,Matched,Valid,ARR0002938,04-Jul-2026,mandi_016,GEHUN,NA,162.36,qtl,114.0
ARR_ROW_000033,ARR0019350,2026-03-25,MANDI001,Wheat,Premium,190.73000000000002,NA,Present,Parsed: unambiguous,Matched,Valid,ARR0019350,25/03/2026,mandi_001,गेहूं,Premium,19.073,MT,NA
