mandi_id,mandi_name,district,state,mandi_type,total_area_acres,district_status,area_status
MANDI001,Hyderabad Mandi,ludhiana,Punjab,Private,11.0,Present in master,Valid
MANDI006,Kochi Mandi,Amritsar,Punjab,Direct,34.0,Present in master,Valid
MANDI037,Jorhat Grain Market,Kurukshetra,Haryana,APMC,NA,Present in master,Missing
MANDI046,Baranagar Market,NA,Uttar Pradesh,Private,13.0,Unresolved: conflicting price districts,Valid
MANDI014,Bathinda Grain Market,Patiala,Punjab,PRIVATE,25.0,Present in master,Valid
MANDI055,Chandigarh APMC,Bareilly,Uttar Pradesh,apmc,12.0,Present in master,Valid
MANDI034,Ludhiana Grain Market,Ambala,Haryana,NA,11.0,Present in master,Valid
MANDI049,Machilipatnam Mandi,Muzaffarnagar,Uttar Pradesh,Private,39.0,Present in master,Valid
MANDI013,Aurangabad Market,Patiala,Punjab,Private,25.0,Present in master,Valid
MANDI047,Orai Market,Muzaffarnagar,Uttar Pradesh,APMC,NA,Present in master,Missing
MANDI051,Gulbarga Market,Saharanpur,Uttar Pradesh,Private,11.0,Present in master,Valid
MANDI032,Chapra Grain Market,NA,Haryana,PRIVATE,20.0,Unresolved: conflicting price districts,Valid
MANDI004,Khandwa Grain Market,Ludhiana,Punjab,APMC,15.0,Present in master,Valid
MANDI053,Panihati Market,Saharanpur,Uttar Pradesh,APMC,NA,Present in master,Missing
MANDI018,Jaunpur Mandi,MOGA,Punjab,NA,9.0,Present in master,Valid
MANDI009,Jamshedpur APMC,Jalandhar,Punjab,apmc,28.0,Present in master,Valid
MANDI007,Nashik Mandi,Amritsar,Punjab,PRIVATE,45.0,Present in master,Valid
MANDI041,Gurgaon Grain Market,FATEHABAD,Haryana,APMC,39.0,Present in master,Valid
MANDI005,Bhilwara Grain Market,Amritsar,Punjab,Direct,29.0,Present in master,Valid
MANDI044,Dehri Mandi,Agra,Uttar Pradesh,APMC,41.0,Present in master,Valid
MANDI020,Kadapa Mandi,Ferozepur,Punjab,Direct,26.0,Present in master,Valid
MANDI035,Guntakal Mandi,Ambala,Haryana,APMC,17.0,Present in master,Valid
MANDI026,Tadipatri Mandi,Hisar,Haryana,Private,35.0,Present in master,Valid
MANDI057,Gorakhpur APMC,Bareilly,Uttar Pradesh,Direct,7.0,Present in master,Valid
MANDI016,Kulti APMC,Bathinda,Punjab,NA,42.0,Present in master,Valid
MANDI028,Machilipatnam APMC,Hisar,Haryana,NA,33.0,Present in master,Valid
MANDI010,Dhule APMC,Jalandhar,Punjab,Direct,48.0,Present in master,Valid
MANDI031,Nangloi Jat Mandi,Sirsa,Haryana,APMC,22.0,Present in master,Valid
MANDI027,Kochi APMC,Hisar,Haryana,apmc,39.0,Present in master,Valid
MANDI017,Parbhani Market,NA,Punjab,PRIVATE,8.0,Unresolved: conflicting price districts,Valid
MANDI025,Dindigul APMC,karnal,Haryana,APMC,NA,Present in master,Missing
MANDI056,Bilaspur Mandi,Bareilly,Uttar Pradesh,Private,28.0,Present in master,Valid
MANDI012,Gaya Grain Market,Patiala,Punjab,NA,48.0,Present in master,Valid
MANDI033,South Dumdum Grain Market,AMBALA,Haryana,apmc,31.0,Present in master,Valid
MANDI054,Nangloi Jat Grain Market,Saharanpur,Uttar Pradesh,Direct,45.0,Present in master,Valid
MANDI042,Erode Mandi,Fatehabad,Haryana,PRIVATE,38.0,Present in master,Valid
MANDI038,Jalandhar Mandi,Kurukshetra,Haryana,Private,36.0,Present in master,Valid
MANDI030,Patiala APMC,Sirsa,Haryana,NA,19.0,Present in master,Valid
MANDI045,Farrukhabad Mandi,Meerut,Uttar Pradesh,PRIVATE,25.0,Present in master,Valid
MANDI002,Solapur Mandi,Ludhiana,Punjab,APMC,37.0,Present in master,Valid
MANDI022,Eluru APMC,Karnal,Haryana,NA,45.0,Present in master,Valid
MANDI003,Vijayawada Mandi,Ludhiana,Punjab,NA,19.0,Present in master,Valid
MANDI048,Chittoor Mandi,muzaffarnagar,Uttar Pradesh,Direct,27.0,Present in master,Valid
MANDI040,Jodhpur Market,Fatehabad,Haryana,Direct,40.0,Present in master,Valid
MANDI036,Mysore Grain Market,KURUKSHETRA,Haryana,apmc,9.0,Present in master,Valid
MANDI024,Jaipur Mandi,Karnal,Haryana,APMC,24.0,Present in master,Valid
MANDI050,Durg Market,Muzaffarnagar,Uttar Pradesh,NA,47.0,Present in master,Valid
MANDI011,Arrah Mandi,Patiala,Punjab,NA,34.0,Present in master,Valid
MANDI023,Panihati APMC,KARNAL,Haryana,PRIVATE,38.0,Present in master,Valid
MANDI019,Karimnagar Grain Market,Moga,Punjab,PRIVATE,40.0,Present in master,Valid
MANDI021,Guna Mandi,Ferozepur,Punjab,APMC,21.0,Present in master,Valid
MANDI008,Bijapur Market,Amritsar,Punjab,APMC,23.0,Present in master,Valid
MANDI043,Danapur Mandi,Agra,Uttar Pradesh,Private,NA,Present in master,Missing
MANDI015,Amravati Grain Market,Bathinda,Punjab,apmc,13.0,Present in master,Valid
MANDI029,Asansol Grain Market,SIRSA,Haryana,Direct,NA,Present in master,Missing
MANDI052,Kakinada APMC,Saharanpur,Uttar Pradesh,NA,48.0,Present in master,Valid
MANDI039,Anand Grain Market,NA,Haryana,APMC,5.0,Unresolved: conflicting price districts,Valid
