record_id,date,mandi_id,district,crop_name,min_price,max_price,modal_price,msp,price_msp_gap,below_supplied_msp,date_status,mandi_id_status,district_status,msp_comparison_status,source_record_id,source_date,source_mandi_id,source_district,source_crop_name,source_min_price,source_max_price,source_modal_price,source_msp
PR001650,2026-07-26,MANDI005,Amritsar,Cotton,6850.985817820893,7570.17,7210.58,6620.0,590.5799999999999,False,Parsed: unambiguous,Matched,Recoverable from master,Compared: common basis implied by challenge,PR001650,2026/07/26,MANDI005,NA,Kapas,6850.985817820893,"₹7,570.17",7210.58,"₹6,620.00"
PR000246,2026-07-17,MANDI028,Hisar,Cotton,6944.79,7654.18,7299.0,NA,NA,NA,Parsed: unambiguous,Matched,Conflicts with master,Unavailable: missing MSP,PR000246,2026-07-17,MANDI028,Fatehabad,कपास,"₹6,944.79",7654.18,"Rs. 7,299",
PR010091,2026-01-09,MANDI011,Patiala,Rice,1857.0,2013.18,1935.06,2183.0,-247.94000000000005,True,Parsed: assumed format by separator,Matched,Conflicts with master,Compared: common basis implied by challenge,PR010091,09.01.2026,MANDI011,Jalandhar,Dhaan,"Rs. 1,857",2013.18,"₹1,935.06","INR 2,183"
PR000982,2026-05-24,MANDI012,Patiala,Maize,1873.34,1986.0,1930.0,2090.0,-160.0,True,Parsed: unambiguous,Matched,Conflicts with master,Compared: common basis implied by challenge,PR000982,2026/05/24,M012,Ferozepur,corn,"₹1,873.34","Rs. 1,986","Rs. 1,930","Rs. 2,090"
PR001708,2026-08-18,MANDI013,Patiala,Cotton,5878.62,6574.283051769212,6226.45,6620.0,-393.5500000000002,True,Parsed: unambiguous,Matched,Conflicts with master,Compared: common basis implied by challenge,PR001708,18/08/2026,013,Karnal,Cotton,"5,878.62/-",6574.283051769212,6226.45,"Rs. 6,620"
PR004312,2026-01-24,MANDI001,ludhiana,Cotton,NA,7324.58,NA,6620.0,NA,NA,Parsed: unambiguous,Matched,Conflicts with master,Unavailable: missing modal price,PR004312,01-24-2026,MANDI001,Patiala,Kapas,,"₹7,324.58",,"6,620.00/-"
PR000288,2026-08-08,MANDI031,Sirsa,Wheat,2270.14,2823.4429693584902,2546.79,2275.0,271.78999999999996,False,Parsed: unambiguous,Matched,Conflicts with master,Compared: common basis implied by challenge,PR000288,08-Aug-2026,M031,Hisar,Kanak,"₹2,270.14",2823.4429693584902,"2,546.79/-","₹2,275.00"
PR002536,2026-01-06,MANDI036,KURUKSHETRA,Wheat,1961.63,2340.0,2151.0,2275.0,-124.0,True,Parsed: unambiguous,Matched,Conflicts with master,Compared: common basis implied by challenge,PR002536,2026-01-06,M036,Kurukshetra,WHEAT,"₹1,961.63","Rs. 2,340","INR 2,151",2275
PR009427,2026-08-12,MANDI050,Muzaffarnagar,Wheat,2277.53,2458.0,2367.64,2275.0,92.63999999999987,False,Parsed: unambiguous,Matched,Recoverable from master,Compared: common basis implied by challenge,PR009427,12-Aug-2026,MANDI-050,,Gehun,2277.53,"INR 2,458","₹2,367.64","2,275.00/-"
PR003418,2026-02-09,MANDI011,Patiala,Sugarcane,3156.94,3890.02,NA,3500.0,NA,NA,Parsed: assumed format by separator,Matched,Conflicts with master,Unavailable: missing modal price,PR003418,09.02.2026,M011,Ambala,गन्ना,"₹3,156.94",3890.02,,"Rs. 3,500"
PR001250,2026-02-10,MANDI002,Ludhiana,Maize,1866.0,2193.0,2029.0,2090.0,-61.0,True,Parsed: assumed format by separator,Matched,Conflicts with master,Compared: common basis implied by challenge,PR001250,10/02/2026,MANDI002,Ambala,corn,"Rs. 1,866","INR 2,193","Rs. 2,029","Rs. 2,090"
PR008959,2026-06-24,MANDI057,Bareilly,Mustard,NA,6850.0,6290.0,5650.0,640.0,False,Parsed: unambiguous,Matched,Recoverable from master,Compared: common basis implied by challenge,PR008959,24.06.2026,mandi_057,NA,सरसों,,"Rs. 6,850","Rs. 6,290","Rs. 5,650"
PR004344,2026-04-14,MANDI040,Fatehabad,Rice,1989.0202736774609,2138.04,2063.53,2183.0,-119.4699999999998,True,Parsed: unambiguous,Matched,Conflicts with master,Compared: common basis implied by challenge,PR004344,2026-04-14,mandi_040,Amritsar,Dhaan,1989.0202736774606,"2,138.04/-","₹2,063.53",2183
PR008040,2026-06-25,MANDI053,Saharanpur,Wheat,2016.0,2300.0,2158.4,2275.0,-116.59999999999991,True,Parsed: unambiguous,Matched,Conflicts with master,Compared: common basis implied by challenge,PR008040,25-Jun-2026,MANDI053,Ludhiana,Kanak,"INR 2,016","Rs. 2,300",2158.4,"Rs. 2,275"
PR002773,2026-04-06,MANDI050,Muzaffarnagar,Sugarcane,3391.89,4215.91,3804.0,3500.0,304.0,False,Parsed: assumed format by separator,Matched,Conflicts with master,Compared: common basis implied by challenge,PR002773,06/04/2026,mandi_050,Ambala,Ganna,"₹3,391.89","₹4,215.91","INR 3,804","Rs. 3,500"
PR007582,2026-01-24,MANDI043,Agra,Rice,NA,2521.03,2303.861807881144,2183.0,120.86180788114416,False,Parsed: unambiguous,Matched,Conflicts with master,Compared: common basis implied by challenge,PR007582,24.01.2026,M043,Ferozepur,Dhaan,,2521.03,2303.861807881144,"₹2,183.00"
PR001390,2026-06-17,MANDI026,Hisar,Sugarcane,3661.39,4282.71,3972.05,3500.0,472.0500000000002,False,Parsed: unambiguous,Matched,Conflicts with master,Compared: common basis implied by challenge,PR001390,06-17-2026,MANDI026,Patiala,Sugarcane,"₹3,661.39",4282.71,3972.05,"Rs. 3,500"
PR011220,2026-01-17,MANDI010,Jalandhar,Cotton,6054.0,7147.5,6601.0,6620.0,-19.0,True,Parsed: unambiguous,Matched,Conflicts with master,Compared: common basis implied by challenge,PR011220,17/01/2026,MANDI-010,Bathinda,Kapas,"INR 6,054",7147.5,"Rs. 6,601",6620
PR008656,2026-03-26,MANDI005,Amritsar,Rice,2172.99,2312.15,NA,NA,NA,NA,Parsed: unambiguous,Matched,Conflicts with master,Unavailable: missing modal price,PR008656,26/03/2026,mandi005,Patiala,Basmati,2172.99,"2,312.15/-",,
PR000719,2026-04-29,NA,NA,Maize,1878.0,2114.21,NA,2090.0,NA,NA,Parsed: unambiguous,Missing source ID,Cannot verify: no matched mandi,Unavailable: missing modal price,PR000719,2026-04-29,NA,Kurukshetra,Makka,"INR 1,878",2114.21,,"₹2,090.00"
PR005849,2026-01-23,MANDI016,Bathinda,Cotton,6473.0,7364.56,6918.61,6620.0,298.6099999999997,False,Parsed: unambiguous,Matched,Conflicts with master,Compared: common basis implied by challenge,PR005849,2026/01/23,MANDI016,Patiala,cotton,"Rs. 6,473",7364.56,"₹6,918.61","Rs. 6,620"
