month_start,crop_name,eligible_records,average_modal_price,average_supplied_msp,below_msp_rate_percent,period_status
2026-01-01,Cotton,181,6760.44,6620.00,43.09,"Within dataset date range"
2026-02-01,Cotton,152,6786.07,6620.00,43.42,"Within dataset date range"
2026-03-01,Cotton,192,6754.66,6620.00,41.15,"Within dataset date range"
2026-04-01,Cotton,218,6761.74,6620.00,40.37,"Within dataset date range"
2026-05-01,Cotton,189,6785.17,6620.00,35.98,"Within dataset date range"
2026-06-01,Cotton,171,6781.41,6620.00,41.52,"Within dataset date range"
2026-07-01,Cotton,175,6731.73,6620.00,43.43,"Within dataset date range"
2026-08-01,Cotton,175,6751.16,6620.00,39.43,"Within dataset date range"
2026-09-01,Cotton,55,6811.33,6620.00,30.91,"Partial calendar coverage"
2026-01-01,Maize,188,2131.81,2090.00,40.43,"Within dataset date range"
2026-02-01,Maize,191,2131.85,2090.00,41.36,"Within dataset date range"
2026-03-01,Maize,187,2124.27,2090.00,45.45,"Within dataset date range"
2026-04-01,Maize,194,2117.51,2090.00,43.30,"Within dataset date range"
2026-05-01,Maize,209,2149.30,2090.00,34.45,"Within dataset date range"
2026-06-01,Maize,171,2138.77,2090.00,40.35,"Within dataset date range"
2026-07-01,Maize,195,2135.77,2090.00,39.49,"Within dataset date range"
2026-08-01,Maize,204,2129.62,2090.00,43.14,"Within dataset date range"
2026-09-01,Maize,50,2140.15,2090.00,38.00,"Partial calendar coverage"
2026-01-01,Mustard,181,5807.23,5650.00,33.15,"Within dataset date range"
2026-02-01,Mustard,195,5781.44,5650.00,37.95,"Within dataset date range"
2026-03-01,Mustard,181,5785.78,5650.00,40.33,"Within dataset date range"
2026-04-01,Mustard,174,5820.11,5650.00,34.48,"Within dataset date range"
2026-05-01,Mustard,180,5816.09,5650.00,33.33,"Within dataset date range"
2026-06-01,Mustard,176,5752.35,5650.00,43.75,"Within dataset date range"
2026-07-01,Mustard,186,5767.90,5650.00,40.86,"Within dataset date range"
2026-08-01,Mustard,207,5757.72,5650.00,43.96,"Within dataset date range"
2026-09-01,Mustard,45,5833.99,5650.00,37.78,"Partial calendar coverage"
2026-01-01,Rice,200,2232.71,2183.00,38.00,"Within dataset date range"
2026-02-01,Rice,165,2223.16,2183.00,42.42,"Within dataset date range"
2026-03-01,Rice,174,2232.15,2183.00,39.08,"Within dataset date range"
2026-04-01,Rice,185,2232.73,2183.00,38.92,"Within dataset date range"
2026-05-01,Rice,179,2224.34,2183.00,43.58,"Within dataset date range"
2026-06-01,Rice,187,2221.36,2183.00,43.85,"Within dataset date range"
2026-07-01,Rice,182,2232.41,2183.00,40.11,"Within dataset date range"
2026-08-01,Rice,165,2244.75,2183.00,36.36,"Within dataset date range"
2026-09-01,Rice,54,2234.60,2183.00,42.59,"Partial calendar coverage"
2026-01-01,Sugarcane,174,3580.06,3500.00,37.93,"Within dataset date range"
2026-02-01,Sugarcane,166,3593.16,3500.00,37.95,"Within dataset date range"
2026-03-01,Sugarcane,177,3587.10,3500.00,36.72,"Within dataset date range"
2026-04-01,Sugarcane,179,3594.95,3500.00,37.43,"Within dataset date range"
2026-05-01,Sugarcane,188,3585.71,3500.00,35.64,"Within dataset date range"
2026-06-01,Sugarcane,180,3578.57,3500.00,37.22,"Within dataset date range"
2026-07-01,Sugarcane,196,3573.41,3500.00,39.80,"Within dataset date range"
2026-08-01,Sugarcane,206,3560.10,3500.00,46.12,"Within dataset date range"
2026-09-01,Sugarcane,44,3578.69,3500.00,40.91,"Partial calendar coverage"
2026-01-01,Wheat,178,2318.36,2275.00,39.33,"Within dataset date range"
2026-02-01,Wheat,189,2305.18,2275.00,45.50,"Within dataset date range"
2026-03-01,Wheat,182,2326.46,2275.00,37.91,"Within dataset date range"
2026-04-01,Wheat,176,2287.52,2275.00,48.86,"Within dataset date range"
2026-05-01,Wheat,181,2326.13,2275.00,39.23,"Within dataset date range"
2026-06-01,Wheat,181,2305.40,2275.00,45.30,"Within dataset date range"
2026-07-01,Wheat,179,2330.72,2275.00,41.90,"Within dataset date range"
2026-08-01,Wheat,187,2345.61,2275.00,36.90,"Within dataset date range"
2026-09-01,Wheat,55,2316.35,2275.00,40.00,"Partial calendar coverage"
